,accuracy,jacard_coef,loss,val_accuracy,val_jacard_coef,val_loss
0,0.5498260855674744,0.29138869047164917,1.1882050037384033,0.643591582775116,0.3442973494529724,1.0302122831344604
1,0.646211564540863,0.3824939727783203,0.950255274772644,0.6855126023292542,0.43059638142585754,0.8279282450675964
2,0.6873850226402283,0.43141981959342957,0.841097891330719,0.7282766699790955,0.4474937915802002,0.7649650573730469
3,0.7122734189033508,0.4491467773914337,0.7965741157531738,0.7542617321014404,0.45196133852005005,0.7192744016647339
4,0.7384611368179321,0.4707980751991272,0.7534869313240051,0.7606967687606812,0.47526001930236816,0.6904159784317017
5,0.7566016316413879,0.48964929580688477,0.7160739302635193,0.739383339881897,0.4809216856956482,0.7311742901802063
6,0.7648940682411194,0.4976092278957367,0.6968620419502258,0.7663494348526001,0.4972115755081177,0.6810308694839478
7,0.7723209857940674,0.5110607147216797,0.6739254593849182,0.7623192071914673,0.4990014433860779,0.668123185634613
8,0.7790430188179016,0.5190439224243164,0.6533659100532532,0.7935431599617004,0.5317275524139404,0.600239634513855
9,0.7895355820655823,0.5360760688781738,0.6248396635055542,0.8003554344177246,0.5241556167602539,0.5781833529472351
10,0.7949379086494446,0.5435724258422852,0.6106460690498352,0.8099594712257385,0.5428191423416138,0.5505046844482422
11,0.8020651340484619,0.5556477904319763,0.5891819596290588,0.8178475499153137,0.5646218657493591,0.5298783779144287
12,0.8078913688659668,0.5656018257141113,0.5733477473258972,0.8265265822410583,0.580942690372467,0.5208349227905273
13,0.8139254450798035,0.5745052099227905,0.5587319731712341,0.8260065317153931,0.5899178981781006,0.5244160294532776
14,0.8190816640853882,0.5843039155006409,0.5422380566596985,0.8275848031044006,0.5929822325706482,0.5223310589790344
15,0.8233823180198669,0.5931629538536072,0.528167188167572,0.8172145485877991,0.5879446268081665,0.5505898594856262
16,0.8272042274475098,0.5989039540290833,0.5182735323905945,0.8140691518783569,0.5861960053443909,0.5608310699462891
17,0.8323701620101929,0.608827531337738,0.501389741897583,0.81050044298172,0.5892276763916016,0.5712174773216248
18,0.8346619606018066,0.612888514995575,0.4943174719810486,0.8058945536613464,0.5852560997009277,0.5895751118659973
19,0.8354756832122803,0.6150606274604797,0.48979154229164124,0.8028629422187805,0.5843340754508972,0.6032045483589172
20,0.8379032611846924,0.6196417212486267,0.4821872115135193,0.7945748567581177,0.5715194940567017,0.6271359324455261
21,0.8398085236549377,0.6241207122802734,0.4737616181373596,0.8051971197128296,0.5854256749153137,0.5912473201751709
22,0.8424294590950012,0.6294600963592529,0.46566998958587646,0.8200737237930298,0.608974039554596,0.542875349521637
23,0.8393006324768066,0.6245813369750977,0.47294551134109497,0.8396857976913452,0.6307032108306885,0.48834091424942017
24,0.8427683115005493,0.630756139755249,0.4624828100204468,0.8206339478492737,0.5906410217285156,0.5377914309501648
25,0.8465980887413025,0.6391603350639343,0.4481578767299652,0.821792721748352,0.6078800559043884,0.5330613255500793
26,0.8480674624443054,0.6422871947288513,0.442082017660141,0.8242971301078796,0.6107870936393738,0.5257497429847717
27,0.8499387502670288,0.6447425484657288,0.4379982650279999,0.8213747143745422,0.603701114654541,0.5426380634307861
28,0.8505429625511169,0.6469744443893433,0.43400803208351135,0.8207693696022034,0.6012400388717651,0.5416519045829773
29,0.8542200922966003,0.6533332467079163,0.4246002435684204,0.8173026442527771,0.6002116799354553,0.5705456137657166
30,0.8467775583267212,0.6396158933639526,0.44703346490859985,0.8250577449798584,0.6124922633171082,0.5333601832389832
31,0.8554175496101379,0.6570338010787964,0.41778168082237244,0.8177769184112549,0.5996177196502686,0.5602381825447083
32,0.858797550201416,0.6626474261283875,0.4098285138607025,0.8221715092658997,0.6032159328460693,0.5450538396835327
33,0.8581194281578064,0.6621584296226501,0.4104006886482239,0.8155215978622437,0.5950559377670288,0.5646681785583496
34,0.8574855923652649,0.6610682010650635,0.41167211532592773,0.8338854908943176,0.6225224137306213,0.5077176690101624
35,0.8606702089309692,0.6665948629379272,0.40151405334472656,0.8393120169639587,0.6384993195533752,0.5012384653091431
36,0.8617199063301086,0.670274019241333,0.3972650468349457,0.8301265835762024,0.6268002390861511,0.5417608618736267
37,0.8635258078575134,0.6724280714988708,0.3932798504829407,0.8497726917266846,0.6511158347129822,0.4518170952796936
38,0.8654014468193054,0.6777441501617432,0.3853529989719391,0.8471437096595764,0.6440510749816895,0.4702194035053253
39,0.8689306974411011,0.6848965883255005,0.37420448660850525,0.8478447198867798,0.655482292175293,0.4649047255516052
40,0.8698602914810181,0.6852721571922302,0.37503838539123535,0.8351516723632812,0.6384100914001465,0.5240055322647095
41,0.8698316812515259,0.6871621608734131,0.37186282873153687,0.845283031463623,0.6483933329582214,0.4834667146205902
42,0.8702487349510193,0.6871353983879089,0.36914923787117004,0.8364700078964233,0.640353798866272,0.5057525634765625
43,0.8714173436164856,0.6898859739303589,0.3675847351551056,0.841820240020752,0.6580891609191895,0.51887446641922
44,0.872788667678833,0.6924043893814087,0.3612641990184784,0.8296133875846863,0.6276021003723145,0.5526860356330872
45,0.8763396143913269,0.7000803351402283,0.35083237290382385,0.8325926661491394,0.6449379920959473,0.5531828999519348
46,0.8791329860687256,0.7064921259880066,0.3415071666240692,0.8400673270225525,0.6546303033828735,0.5444872975349426
47,0.8815199136734009,0.7116585969924927,0.3326442837715149,0.8353995680809021,0.6468974947929382,0.5761352777481079
48,0.8836643695831299,0.7162118554115295,0.3263242244720459,0.846295177936554,0.6633334159851074,0.505189836025238
49,0.8738082051277161,0.6945775151252747,0.3598956763744354,0.85400390625,0.659927487373352,0.4581778049468994
50,0.879987359046936,0.7078073620796204,0.3394090533256531,0.8476296067237854,0.6616602540016174,0.5169205069541931
51,0.8817320466041565,0.7101810574531555,0.33552271127700806,0.8531215786933899,0.6679558753967285,0.4778306186199188
52,0.8880361318588257,0.7238864302635193,0.3144775927066803,0.8583135008811951,0.6843228936195374,0.4492093026638031
53,0.8903491497039795,0.7293373942375183,0.30688536167144775,0.8626362681388855,0.6943007707595825,0.4467479884624481
54,0.8925536870956421,0.7339563369750977,0.30091750621795654,0.8582319617271423,0.6897655725479126,0.47516465187072754
55,0.8868116140365601,0.7222871780395508,0.3177367150783539,0.863948404788971,0.6919081211090088,0.42343857884407043
56,0.8866686820983887,0.7213842868804932,0.32007551193237305,0.859133243560791,0.6797234416007996,0.44867151975631714
57,0.88941890001297,0.7269970178604126,0.30894774198532104,0.8642889857292175,0.7037030458450317,0.4487844407558441
58,0.8881387114524841,0.7259648442268372,0.3118937611579895,0.8666859269142151,0.7051901817321777,0.4273020327091217
59,0.8938111066818237,0.7367798686027527,0.2983284294605255,0.867704451084137,0.7059116363525391,0.4123302698135376
60,0.894627034664154,0.7381095886230469,0.29499539732933044,0.8680770993232727,0.7043994665145874,0.41176503896713257
61,0.8912839293479919,0.7302578091621399,0.3060930371284485,0.8607819676399231,0.6961737275123596,0.4528449475765228
62,0.8920490145683289,0.7333069443702698,0.30437687039375305,0.8658966422080994,0.7025609016418457,0.4346223473548889
63,0.8981843590736389,0.7468875050544739,0.28302958607673645,0.8655957579612732,0.6996879577636719,0.4230734407901764
64,0.9027815461158752,0.7560713887214661,0.2706163823604584,0.8638452291488647,0.7017553448677063,0.44348829984664917
65,0.9062179327011108,0.7640445828437805,0.25962963700294495,0.863090991973877,0.7019206285476685,0.45188894867897034
66,0.9080268144607544,0.7674741744995117,0.25465041399002075,0.8610809445381165,0.7007792592048645,0.46564337611198425
67,0.9098466634750366,0.7713239192962646,0.24993176758289337,0.8627681136131287,0.7058957815170288,0.4544380009174347
68,0.9058943390846252,0.7620641589164734,0.2622171938419342,0.8592798709869385,0.6960610151290894,0.4748460650444031
69,0.9078985452651978,0.7676073908805847,0.25530800223350525,0.8597080707550049,0.7031862139701843,0.5033760070800781
70,0.9122369885444641,0.7765466570854187,0.24349796772003174,0.8577926754951477,0.6972284913063049,0.48471513390541077
71,0.9051816463470459,0.7587127089500427,0.26827818155288696,0.8495392203330994,0.6857106685638428,0.4973933696746826
72,0.9108788371086121,0.7730786800384521,0.24674318730831146,0.8644850254058838,0.7135489583015442,0.46680396795272827
73,0.9140772223472595,0.7814744710922241,0.23677489161491394,0.8659307360649109,0.7156949043273926,0.4479660391807556
74,0.9163541197776794,0.7855446934700012,0.2307346612215042,0.8636285662651062,0.7125558853149414,0.4750951826572418
75,0.9162620902061462,0.7865869402885437,0.22971585392951965,0.8718122839927673,0.7280288338661194,0.4522300064563751
76,0.9167898893356323,0.787585973739624,0.22833025455474854,0.8692287802696228,0.7225251197814941,0.45915958285331726
77,0.9178120493888855,0.7895557284355164,0.22532831132411957,0.8715209364891052,0.7260194420814514,0.45676299929618835
78,0.9186469316482544,0.7912651300430298,0.22369606792926788,0.8714554905891418,0.7274461388587952,0.4611641466617584
79,0.9205411076545715,0.7960584163665771,0.21696914732456207,0.8696994781494141,0.72678142786026,0.4694440960884094
80,0.9224345684051514,0.8001756072044373,0.2120654582977295,0.8689147233963013,0.7245699763298035,0.46928930282592773
81,0.9233026504516602,0.8017832040786743,0.20971304178237915,0.8707332015037537,0.7301335334777832,0.47476255893707275
82,0.9236146211624146,0.8027316331863403,0.20865653455257416,0.8677684664726257,0.7250290513038635,0.4870544970035553
83,0.9234105944633484,0.8028640747070312,0.20881584286689758,0.8693654537200928,0.7272950410842896,0.465715229511261
84,0.9223412871360779,0.7998210191726685,0.2135554701089859,0.8691520690917969,0.7247697114944458,0.47407349944114685
85,0.9240280389785767,0.8036080002784729,0.20722566545009613,0.8707404732704163,0.729411244392395,0.4647080600261688
86,0.9237148761749268,0.802848756313324,0.20890487730503082,0.8655866384506226,0.7191641330718994,0.504334032535553
87,0.9247797131538391,0.805497407913208,0.20470461249351501,0.8705792427062988,0.7279511094093323,0.5113204121589661
88,0.9240845441818237,0.8032721281051636,0.2072707861661911,0.8685104250907898,0.727321445941925,0.4765995144844055
89,0.924027681350708,0.8036523461341858,0.20785151422023773,0.8655610084533691,0.716630756855011,0.4752194881439209
90,0.9228050112724304,0.7995890378952026,0.2132890224456787,0.8678311705589294,0.7218852043151855,0.4741467535495758
91,0.9245098233222961,0.8040691018104553,0.20762115716934204,0.8620418310165405,0.7107905745506287,0.5100714564323425
92,0.926460325717926,0.8093153834342957,0.20097512006759644,0.8618690371513367,0.7133617997169495,0.5167745351791382
93,0.9273838400840759,0.8109039068222046,0.1979336440563202,0.8623970746994019,0.7151412963867188,0.5284839868545532
94,0.8681473731994629,0.6815078258514404,0.4023321270942688,0.8449715375900269,0.642283022403717,0.5068032741546631
95,0.8849084973335266,0.7129294872283936,0.3349054455757141,0.8508414626121521,0.670918345451355,0.48095354437828064
96,0.9076172113418579,0.7650911211967468,0.26067614555358887,0.8547930717468262,0.6959613561630249,0.5106380581855774
97,0.9144928455352783,0.7800198197364807,0.2404950112104416,0.859420120716095,0.705778181552887,0.5007199048995972
98,0.918524444103241,0.791050374507904,0.22506944835186005,0.8562681674957275,0.7015088796615601,0.510066568851471
99,0.9216184616088867,0.7976925373077393,0.2157086282968521,0.8592885136604309,0.7093456387519836,0.5290303826332092
